SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018
40,3,6,1,Alabama,4852347,4863525,4874486,4887681,59647,59389,58961,58271
40,4,9,2,Alaska,737498,741456,739700,735139,11330,11246,10803,10284
40,4,8,4,Arizona,6829676,6941072,7044008,7158024,86764,84957,83021,81767
40,3,7,5,Arkansas,2978048,2989918,3001345,3009733,38796,38612,37737,37239
40,4,9,6,California,38918045,39167117,39358497,39461588,500380,490358,481943,465017
40,4,8,8,Colorado,5450623,5539215,5611885,5691287,66350,66588,65375,64494
40,1,1,9,Connecticut,3587122,3578141,3573297,3571520,36321,35888,35551,34883
40,3,5,10,Delaware,941252,948921,956823,965479,11026,11084,10978,10732
40,3,5,11,District of Columbia,675400,685815,694906,701547,9648,9718,9693,9523
40,3,5,12,Florida,20209042,20613477,20963613,21244317,221746,224651,224574,223066
40,3,5,13,Georgia,10178447,10301890,10410330,10511131,131676,130742,129824,128547
40,4,9,15,Hawaii,1422052,1427559,1424393,1420593,18212,18250,17939,17173
40,4,8,16,Idaho,1651059,1682380,1717715,1750536,23030,22642,22430,22054
40,2,3,17,Illinois,12858913,12820527,12778828,12723071,159239,156289,151944,147037
40,2,3,18,Indiana,6608422,6634304,6658078,6695497,84175,83559,82268,81801
40,2,4,19,Iowa,3120960,3131371,3141550,3148618,39702,39432,38850,38068
40,2,4,20,Kansas,2909011,2910844,2908718,2911359,39001,38613,37409,35912
40,3,6,21,Kentucky,4425976,4438182,4452268,4461153,55943,55681,54910,54428
40,3,7,22,Louisiana,4664628,4678135,4670560,4659690,64390,63993,62391,59870
40,1,1,23,Maine,1328262,1331317,1334612,1339057,12652,12647,12451,12252
40,3,5,24,Maryland,5985562,6003323,6023868,6035802,74134,73397,71942,71389
40,1,1,25,Massachusetts,6794228,6823608,6859789,6882635,71919,71410,70765,70696
40,2,3,26,Michigan,9931715,9950571,9973114,9984072,113802,113314,112565,110376
40,2,4,27,Minnesota,5482032,5522744,5566230,5606249,69711,69808,69570,67861
40,3,6,28,Mississippi,2988471,2987938,2988510,2981020,38577,38159,37532,36832
40,2,4,29,Missouri,6071732,6087135,6106670,6121623,75145,74882,73765,72323
40,4,8,30,Montana,1030475,1040859,1052482,1060665,12582,12430,12194,11552
40,2,4,31,Nebraska,1891277,1905616,1915947,1925614,26859,26619,26226,25470
40,4,8,32,Nevada,2866939,2917563,2969905,3027341,36228,36290,36152,35700
40,1,1,33,New Hampshire,1336350,1342307,1348787,1353465,12378,12355,12251,12023
40,1,2,34,New Jersey,8867949,8870827,8885525,8886025,103115,102906,101676,100724
40,4,8,35,New Mexico,2089291,2091630,2091784,2092741,26054,25263,24131,23404
40,1,2,36,New York,19654666,19633428,19589572,19530351,239352,235832,231376,226993
40,3,5,37,North Carolina,10031646,10154788,10268233,10381615,120836,120837,120151,120176
40,2,4,38,North Dakota,754066,754434,754942,758080,11406,11341,11140,10570
40,2,3,39,Ohio,11617527,11634370,11659650,11676341,139561,138667,136909,135947
40,3,7,40,Oklahoma,3909500,3926331,3931316,3940235,53525,52860,51467,49525
40,4,9,41,Oregon,4015792,4089976,4143625,4181886,45668,45593,44711,43425
40,1,2,42,Pennsylvania,12784826,12782275,12787641,12800922,141920,140259,137982,136914
40,1,1,44,Rhode Island,1056065,1056770,1055673,1058287,10875,10901,10663,10691
40,3,5,45,South Carolina,4891938,4957968,5021268,5084156,58277,57755,56943,56793
40,2,4,46,South Dakota,853988,862996,872868,878698,12255,12314,12196,12028
40,3,6,47,Tennessee,6591170,6646010,6708799,6771631,81877,81248,80601,80946
40,3,7,48,Texas,27470056,27914410,28295273,28628666,402264,400965,391340,379544
40,4,8,49,Utah,2981835,3041868,3101042,3153550,51013,50622,49761,48349
40,1,1,50,Vermont,625216,623657,624344,624358,5972,5832,5775,5537
40,3,5,51,Virginia,8361808,8410106,8463587,8501286,103234,102910,101430,99818
40,4,9,53,Washington,7163657,7294771,7423362,7523869,88772,89751,89724,87338
40,3,5,54,West Virginia,1842050,1831023,1817004,1804291,20083,19411,18870,18251
40,2,3,55,Wisconsin,5760940,5772628,5790186,5807406,67156,66803,65943,64194
40,4,8,56,Wyoming,585613,584215,578931,577601,7798,7581,7179,6714
40,X,X,72,Puerto Rico,3473232,3406672,3325286,3193354,32967,30109,26233,22148
