"","State","Year","sum"
"1","AK",2015,51558
"2","AK",2016,52735
"3","AK",2017,53174
"4","AK",2018,17739
"5","AL",2015,616459
"6","AL",2016,616935
"7","AL",2017,633356
"8","AL",2018,215958
"9","AR",2015,372733
"10","AR",2016,371087
"11","AR",2017,382889
"12","AR",2018,130648
"13","AZ",2015,656887
"14","AZ",2016,695620
"15","AZ",2017,703881
"16","AZ",2018,246282
"17","CA",2015,3112953
"18","CA",2016,3196735
"19","CA",2017,3260509
"20","CA",2018,1108803
"21","CO",2015,452536
"22","CO",2016,462031
"23","CO",2017,473747
"24","CO",2018,160044
"25","CT",2015,393422.35604826
"26","CT",2016,399834.9971378
"27","CT",2017,420309.808691
"28","CT",2018,141461.94891949
"29","DC",2015,69729
"30","DC",2016,71836
"31","DC",2017,79465
"32","DC",2018,26056
"33","DE",2015,105622
"34","DE",2016,106584
"35","DE",2017,112921
"36","DE",2018,38201
"37","FL",2015,2355663
"38","FL",2016,2409072
"39","FL",2017,2498457
"40","FL",2018,856291
"41","GA",2015,970704
"42","GA",2016,985064
"43","GA",2017,1013180
"44","GA",2018,346062
"45","HI",2015,135232
"46","HI",2016,133885
"47","HI",2017,138184
"48","HI",2018,47298
"49","IA",2015,357214
"50","IA",2016,351123
"51","IA",2017,364635
"52","IA",2018,121903
"53","ID",2015,156351
"54","ID",2016,160433
"55","ID",2017,166965
"56","ID",2018,56679
"57","IL",2015,1274674
"58","IL",2016,1266917
"59","IL",2017,1299124
"60","IL",2018,441487
"61","IN",2015,774066
"62","IN",2016,772332
"63","IN",2017,808001
"64","IN",2018,272477
"65","KS",2015,311774
"66","KS",2016,308292
"67","KS",2017,316567
"68","KS",2018,106463
"69","KY",2015,564346
"70","KY",2016,575272
"71","KY",2017,595166
"72","KY",2018,199012
"73","LA",2015,540172
"74","LA",2016,537572
"75","LA",2017,552457
"76","LA",2018,191381
"77","MA",2015,718949
"78","MA",2016,710691
"79","MA",2017,736870
"80","MA",2018,248037
"81","MD",2015,609758.90019323
"82","MD",2016,635435.144606
"83","MD",2017,686965.03492602
"84","MD",2018,232376.90232853
"85","ME",2015,179465.17908144
"86","ME",2016,181229.4762834
"87","ME",2017,188604.22988139
"88","ME",2018,64018.57209025
"89","MI",2015,1157464
"90","MI",2016,1148086
"91","MI",2017,1183576
"92","MI",2018,398469
"93","MN",2015,519045
"94","MN",2016,519949
"95","MN",2017,533656
"96","MN",2018,181200
"97","MO",2015,757561
"98","MO",2016,749548
"99","MO",2017,780024
"100","MO",2018,265609
"101","MS",2015,371692
"102","MS",2016,373522
"103","MS",2017,376748
"104","MS",2018,129329
"105","MT",2015,117536
"106","MT",2016,120323
"107","MT",2017,124403
"108","MT",2018,40755
"109","NC",2015,1118762.84158126
"110","NC",2016,1146780.83754381
"111","NC",2017,1199766.4748851
"112","NC",2018,409598.12978141
"113","ND",2015,84321
"114","ND",2016,81315
"115","ND",2017,84792
"116","ND",2018,28806
"117","NE",2015,203339
"118","NE",2016,197860
"119","NE",2017,205262
"120","NE",2018,68712
"121","NH",2015,156451.10899611
"122","NH",2016,156848.16628927
"123","NH",2017,164052.86656365
"124","NH",2018,55489.30854733
"125","NJ",2015,873433
"126","NJ",2016,866852
"127","NJ",2017,912236
"128","NJ",2018,307199
"129","NM",2015,224323.73168278
"130","NM",2016,228259.25689636
"131","NM",2017,233898.89787982
"132","NM",2018,78581.34996659
"133","NV",2015,298588.64444516
"134","NV",2016,314914.61410811
"135","NV",2017,327547.92608922
"136","NV",2018,111653.67866405
"137","NY",2015,1241839.87446559
"138","NY",2016,1248984.88625782
"139","NY",2017,1291932.62984551
"140","NY",2018,435287.30117792
"141","OH",2015,1453358
"142","OH",2016,1461007
"143","OH",2017,1529594
"144","OH",2018,516896
"145","OK",2015,481692.14122691
"146","OK",2016,479090.52057597
"147","OK",2017,492182.58579046
"148","OK",2018,167162.27908931
"149","OR",2015,439811.15437545
"150","OR",2016,444028.12003468
"151","OR",2017,459041.34967332
"152","OR",2018,151575.8965159
"153","PA",2015,1641404
"154","PA",2016,1632250
"155","PA",2017,1705962
"156","PA",2018,569152
"157","RI",2015,136350.2877672
"158","RI",2016,134723.64197691
"159","RI",2017,137583.12876195
"160","RI",2018,46007.1461256
"161","SC",2015,576750.1386273
"162","SC",2016,586699.71634169
"163","SC",2017,608003.0942575
"164","SC",2018,209862.19269778
"165","SD",2015,94674
"166","SD",2016,94971
"167","SD",2017,98792
"168","SD",2018,32511
"169","TN",2015,854974
"170","TN",2016,864134
"171","TN",2017,893464
"172","TN",2018,305553
"173","TX",2015,2320591
"174","TX",2016,2341219
"175","TX",2017,2404236
"176","TX",2018,831632
"177","US",2015,33968509.2460063
"178","US",2016,34465790.8824567
"179","US",2017,35877171.9516478
"180","US",2018,12191524.9395091
"181","UT",2015,235396.45356295
"182","UT",2016,245236.00533626
"183","UT",2017,245424.35476007
"184","UT",2018,83265.71974548
"185","VA",2015,809193.86339035
"186","VA",2016,820810.86855046
"187","VA",2017,859262.1055711
"188","VA",2018,292041.27540314
"189","VT",2015,73226.21228579
"190","VT",2016,73896.41390229
"191","VT",2017,76015.23916095
"192","VT",2018,25435.39334108
"193","WA",2015,679255.63984568
"194","WA",2016,694660.35323498
"195","WA",2017,714030.11571992
"196","WA",2018,238828.92009518
"197","WI",2015,624679
"198","WI",2016,624921
"199","WI",2017,639819
"200","WI",2018,217290
"201","WV",2015,293147.46834565
"202","WV",2016,294423.03974924
"203","WV",2017,309909.03630792
"204","WV",2018,104415.96015036
"205","WY",2015,55041
"206","WY",2016,53861
"207","WY",2017,53052
"208","WY",2018,18017
"209","YC",2015,681289.34722291
"210","YC",2016,691445.32241686
"211","YC",2017,714220.83943326
"212","YC",2018,241721.00368475
