State,Year,Month,Death Counts
AK,2015,January,4034
AK,2015,February,4084
AK,2015,March,4101
AK,2015,April,4133
AK,2015,May,4196
AK,2015,June,4201
AK,2015,July,4220
AK,2015,August,4222
AK,2015,September,4242
AK,2015,October,4241
AK,2015,November,4219
AK,2015,December,4193
AK,2016,January,4213
AK,2016,February,4198
AK,2016,March,4230
AK,2016,April,4262
AK,2016,May,4241
AK,2016,June,4261
AK,2016,July,4269
AK,2016,August,4276
AK,2016,September,4256
AK,2016,October,4291
AK,2016,November,4289
AK,2016,December,4355
AK,2017,January,4374
AK,2017,February,4347
AK,2017,March,4359
AK,2017,April,4325
AK,2017,May,4277
AK,2017,June,4276
AK,2017,July,4237
AK,2017,August,4235
AK,2017,September,4300
AK,2017,October,4284
AK,2017,November,4309
AK,2017,December,4280
AK,2018,January,4260
AK,2018,February,4304
AK,2018,March,4285
AK,2018,April,4338
AK,2015,January,126
AK,2015,February,127
AK,2015,March,125
AK,2015,April,126
AK,2015,May,125
AK,2015,June,121
AK,2015,July,117
AK,2015,August,124
AK,2015,September,125
AK,2015,October,120
AK,2015,November,115
AK,2015,December,121
AK,2016,January,126
AK,2016,February,128
AK,2016,March,125
AK,2016,April,132
AK,2016,May,140
AK,2016,June,138
AK,2016,July,143
AK,2016,August,138
AK,2016,September,131
AK,2016,October,131
AK,2016,November,133
AK,2016,December,129
AK,2017,January,126
AK,2017,February,124
AK,2017,March,126
AK,2017,April,117
AK,2017,May,120
AK,2017,June,122
AK,2017,July,128
AK,2017,August,137
AK,2017,September,148
AK,2017,October,144
AK,2017,November,138
AK,2017,December,141
AK,2018,January,138
AK,2018,February,138
AK,2018,March,135
AK,2018,April,141
AL,2015,January,49543
AL,2015,February,50004
AL,2015,March,50486
AL,2015,April,50565
AL,2015,May,50516
AL,2015,June,50658
AL,2015,July,50841
AL,2015,August,50930
AL,2015,September,51044
AL,2015,October,51091
AL,2015,November,51093
AL,2015,December,50870
AL,2016,January,50534
AL,2016,February,50555
AL,2016,March,50348
AL,2016,April,50391
AL,2016,May,50511
AL,2016,June,50613
AL,2016,July,50683
AL,2016,August,50756
AL,2016,September,50810
AL,2016,October,50869
AL,2016,November,51110
AL,2016,December,51431
AL,2017,January,51652
AL,2017,February,51542
AL,2017,March,51669
AL,2017,April,51796
AL,2017,May,51945
AL,2017,June,52002
AL,2017,July,52037
AL,2017,August,52077
AL,2017,September,52235
AL,2017,October,52272
AL,2017,November,52262
AL,2017,December,52316
AL,2018,January,53112
AL,2018,February,53274
AL,2018,March,53217
AL,2018,April,53226
AL,2015,January,715
AL,2015,February,723
AL,2015,March,733
AL,2015,April,738
AL,2015,May,755
AL,2015,June,756
AL,2015,July,743
AL,2015,August,736
AL,2015,September,744
AL,2015,October,730
AL,2015,November,725
AL,2015,December,720
AL,2016,January,706
AL,2016,February,710
AL,2016,March,681
AL,2016,April,676
AL,2016,May,654
AL,2016,June,674
AL,2016,July,681
AL,2016,August,685
AL,2016,September,695
AL,2016,October,704
AL,2016,November,718
AL,2016,December,740
AL,2017,January,763
AL,2017,February,759
AL,2017,March,794
AL,2017,April,795
AL,2017,May,812
AL,2017,June,804
AL,2017,July,809
AL,2017,August,808
AL,2017,September,800
AL,2017,October,801
AL,2017,November,799
AL,2017,December,807
AL,2018,January,786
AL,2018,February,795
AL,2018,March,777
AL,2018,April,771
AR,2015,January,30122
AR,2015,February,30332
AR,2015,March,30387
AR,2015,April,30444
AR,2015,May,30602
AR,2015,June,30722
AR,2015,July,30685
AR,2015,August,30884
AR,2015,September,30931
AR,2015,October,31015
AR,2015,November,31007
AR,2015,December,30986
AR,2016,January,30624
AR,2016,February,30413
AR,2016,March,30421
AR,2016,April,30489
AR,2016,May,30361
AR,2016,June,30434
AR,2016,July,30590
AR,2016,August,30488
AR,2016,September,30540
AR,2016,October,30489
AR,2016,November,30697
AR,2016,December,31028
AR,2017,January,31115
AR,2017,February,31158
AR,2017,March,31311
AR,2017,April,31385
AR,2017,May,31499
AR,2017,June,31558
AR,2017,July,31553
AR,2017,August,31600
AR,2017,September,31722
AR,2017,October,31728
AR,2017,November,31658
AR,2017,December,31827
AR,2018,January,32295
AR,2018,February,32399
AR,2018,March,32198
AR,2018,April,32050
AR,2015,January,366
AR,2015,February,366
AR,2015,March,385
AR,2015,April,373
AR,2015,May,383
AR,2015,June,391
AR,2015,July,395
AR,2015,August,398
AR,2015,September,392
AR,2015,October,397
AR,2015,November,389
AR,2015,December,381
AR,2016,January,378
AR,2016,February,379
AR,2016,March,363
AR,2016,April,372
AR,2016,May,376
AR,2016,June,369
AR,2016,July,378
AR,2016,August,383
AR,2016,September,379
AR,2016,October,372
AR,2016,November,378
AR,2016,December,386
AR,2017,January,384
AR,2017,February,380
AR,2017,March,384
AR,2017,April,386
AR,2017,May,383
AR,2017,June,398
AR,2017,July,395
AR,2017,August,406
AR,2017,September,413
AR,2017,October,410
AR,2017,November,411
AR,2017,December,425
AR,2018,January,427
AR,2018,February,425
AR,2018,March,430
AR,2018,April,424
AZ,2015,January,52342
AZ,2015,February,52371
AZ,2015,March,52826
AZ,2015,April,53025
AZ,2015,May,53225
AZ,2015,June,53462
AZ,2015,July,53685
AZ,2015,August,53907
AZ,2015,September,54058
AZ,2015,October,54122
AZ,2015,November,54421
AZ,2015,December,54853
AZ,2016,January,54917
AZ,2016,February,55755
AZ,2016,March,56319
